"Airport","Origin","Lat","Long"
"Pasni","PSI",25.290487,63.345083
"Peshawar","PEW",33.993911,71.514581
"Qasim","",33.560153,73.033217
"Quetta","UET",30.251369,66.937764
"Rahim Yar Khan","RYK",28.3839,70.279572
"Islamabad","ISB",33.616653,73.099233
"Risalpur","",34.081112,71.972583
"Rawala Kot","RAZ",33.849658,73.798147
"Point Roberts","1RL",48.9797222,-123.0788889
"Sukkur","SKZ",27.721989,68.791683
"Saidu Sharif","SDT",34.813556,72.352814
"Sui","SUL",28.645142,69.176917
"Talhar","BDN",24.841519,68.838408
"Wana","",32.304664,69.570433
"Zhob","PZH",31.358381,69.463606
"Basrah","BSR",30.549069,47.662142
"Aleppo","ALP",36.180675,37.224358
"Damascus","DAM",33.410636,36.514267
"Deire Zor","DEZ",35.285374,40.175961
"Latakia","LTK",35.401094,35.948681
"Palmyra","PMS",34.557361,38.316889
"Doha","DOH",25.261125,51.565056
"Canton Island","CIS",-2.768122,-171.710394
"Rota","ROP",14.174308,145.242536
"Saipan","SPN",15.119003,145.729356
"Andersen","UAM",13.583953,144.930025
"Agana","GUM",13.48345,144.795983
"West Tinian","TIQ",14.999203,145.61935
"Scone","NSO",-32.0372,150.832
"Majuro","MAJ",7.064758,171.272022
"Kwajalein","",9.396886,167.470869
"Kwajalein","KWA",8.720122,167.731661
"Kiritimati","CXI",1.986161,-157.349778
"Midway","MDY",28.201725,-177.380636
"Chuuk","TKK",7.461869,151.843006
"Pohnpei","PNI",6.9851,158.208989
"Babelthuap","ROR",7.367303,134.544278
"Kosrae","KSA",5.356975,162.958386
"Yap","YAP",9.498911,138.082497
"Kinmen","KNH",24.427892,118.359197
"Pingtung","PIF",22.672367,120.461728
"Longtang","",24.855136,121.237636
"Fengnin","TTT",22.754986,121.101681
"Green Island","GNI",22.673853,121.466481
"Kaohsiung","KHH",22.577094,120.350006
"Chiayi","CYI",23.461779,120.39283
"Lanyu","KYD",22.028842,121.533642
"Taichung","RMQ",24.264668,120.62058
"Cessnock","CES",-32.7875,151.342
"Tainan","TNN",22.950361,120.205778
"Hsinchu","",24.818033,120.939394
"Makung","MZG",23.568669,119.628311
"Taitung","",22.793117,121.181975
"Pingtung","",22.700239,120.482
"Taipei","TSA",25.069722,121.5525
"Taipei","TPE",25.077731,121.232822
"Wang An","WOT",23.370833,119.494444
"Hualien","HUN",24.023725,121.616906
"Tokyo","NRT",35.764722,140.386389
"Matsumoto","MMJ",36.166758,137.922669
"Ibaraki","IBR",36.181083,140.415444
"Minami Tori Shima","",24.289697,153.979119
"Iwojima","IWO",24.784,141.322722
"Nanki-shirahama","SHM",33.662222,135.364444
"Kohnan","",34.590836,133.933225
"Obihiro","OBO",42.733333,143.217222
"Sapporo","CTS",42.7752,141.692283
"Hakodate","HKD",41.77,140.821944
"Chitose","SPK",42.794475,141.666447
"Memanbetsu","MMB",43.880606,144.164053
"Nakashibetsu","SHB",43.5775,144.96
"Tokachi","",42.890544,143.158475
"Wakkanai","WKJ",45.404167,141.800833
"Iki","IKI",33.749027,129.785417
"Yamaguchi","UBJ",33.93,131.278611
"Tsushima","TSJ",34.284889,129.33055
"Monbetsu","MBE",44.303914,143.404028
"Asahikawa","AKJ",43.670833,142.4475
"Okushiri","OIR",42.071667,139.432911
"Rishiri Island","RIS",45.242006,141.186431
"Ashiya","",33.883083,130.653
"Yakushima","KUM",30.385569,130.659017
"Fukue","FUJ",32.666269,128.832808
"Fukuoka","FUK",33.585942,130.450686
"Tanegashima","TNE",30.605067,130.991231
"Kagoshima","KOJ",31.803397,130.719408
"Miyazaki","KMI",31.877222,131.448611
"Nyutabaru","",32.083611,131.451389
"Oita","OIT",33.479444,131.737222
"Kitakyushu","KKJ",33.845942,131.034689
"Kumamoto","KMJ",32.837319,130.85505
"Nagasaki","NGS",32.916944,129.913611
"Kanoya","",31.367608,130.845456
"Tsuiki","",33.685,131.040278
"Amami","ASJ",28.430633,129.712542
"Okierabu","",27.425522,128.700903
"Tokunoshima","TKN",27.836381,128.881253
"Fukui","",36.142847,136.223922
"Gifu","",35.394078,136.869667
"Hamamatsu","",34.750239,137.703083
"Kanazawa","KMQ",36.394611,136.406544
"Oki Island","OKI",36.181125,133.324844
"Toyama","TOY",36.648333,137.1875
"Yaizu","",34.812778,138.298056
"Hiroshima","HIJ",34.436111,132.919444
"Okayama","OKJ",34.756944,133.855278
"Izumo","IZO",35.413611,132.89
"Hofu","",34.034667,131.549194
"Miho","YGJ",35.492222,133.236389
"Iwakuni","",34.14386,132.23575
"Kochi","KCZ",33.546111,133.669444
"Matsuyama","MYJ",33.827222,132.699722
"Osaka","ITM",34.785528,135.438222
"Tottori","TTJ",35.530069,134.166553
"Tokushima","TKS",34.132808,134.606639
"Takamatsu","TAK",34.214167,134.015556
"Osaka","",34.596311,135.602944
"Ozuki","",34.045322,131.052144
"Aomori","AOJ",40.734722,140.690833
"Yamagata","GAJ",38.411894,140.371331
"Sado","",38.060181,138.413928
"Hachinoe","",40.556447,141.466325
"Hanamaki","HNA",39.428611,141.135278
"Akita","AXT",39.615556,140.218611
"Misawa","MSJ",40.703222,141.368364
"Sendai","SDJ",38.139722,140.916944
"Matsushima","",38.404919,141.219572
"Sazena","LKS",50.1929,14.1532
"Atsugi","",35.454611,139.450167
"Tateyama","",34.987053,139.829208
"Hachijojima","HAC",33.115,139.785833
"Iruma","",35.841944,139.410556
"Kisarazu","",35.398272,139.909936
"Shimofusa","",35.798944,140.011111
"Oshima","OIM",34.782033,139.360306
"Zama","",35.513769,139.393675
"Tokyo","HND",35.552258,139.779694
"Yokota","OKO",35.748492,139.348483
"Kwangju","KWJ",35.126389,126.808889
"Jhunju","",35.878436,127.11955
"Yeosu","RSU",34.842328,127.61685
"Sokch'o","SHO",38.142614,128.598556
"Kangnung","KAG",37.753561,128.943625
"Macomb","MQB",40.5200833,-90.6523889
"Cheju","CJU",33.511306,126.493028
"Chinhae","",35.141175,128.695792
"Busan","PUS",35.179528,128.938222
"Bungle Bungle","",-17.5453,128.307
"Ulsan","USN",35.593494,129.351722
"Pyongtaek","",36.962214,127.031072
"Seoul East","SSN",37.445833,127.113889
"Osan","OSN",37.090617,127.029594
"Seoul","GMP",37.558311,126.790586
"Suwon","",37.239406,127.007053
"Pohang","KPO",35.987858,129.420486
"Taegu","TAE",35.894108,128.658856
"Yechon","YEC",36.631933,128.35485
"Okinawa","OKA",26.195814,127.645869
"Iejima","",26.728775,127.761775
"Kadena","DNA",26.355612,127.767633
"Ishigaki","ISG",24.344525,124.186983
"Kumejima","UEO",26.363506,126.713806
"Minami Daito","MMD",25.846533,131.263494
"Miyako","MMY",24.782833,125.295111
"Kitadaito","KTD",25.944722,131.326944
"Shimojishima","SHI",24.826667,125.144722
"Tarama","",24.653889,124.675278
"Yoron","RNJ",27.043964,128.401517
"Futema","",26.274275,127.756494
"Yonaguni Jima","OGN",24.466944,122.977778
"Manila","MNL",14.508647,121.019581
"Mary","MYP",37.6194,61.8967
"Cotabato","CBO",7.165242,124.209619
"Ladag","CGY",8.415619,124.611219
"Pagadian","PAG",7.827197,123.458294
"Romblon","",6.058003,125.096033
"Tsavo East","",-3.070875,39.2194305555556
"Zamboanga","ZAM",6.922419,122.059633
"Baguio","BAG",16.375103,120.619636
"Daet","",14.129167,122.980181
"Floridablanca","",14.986527,120.4925
"Lingayen","",16.034786,120.241106
"San Jose","",12.361517,121.046639
"Lipa","",13.955017,121.124925
"Mamburao","",13.208092,120.60535
"Vigan","",17.555331,120.355797
"Baler","",15.729836,121.500133
"Kimana","",-2.8,37.5333333333333
"Solio","",-0.245167,36.8849
"Kalundborg","",55.7001,11.2549
"Bagabag","",16.619194,121.252319
"Tacloban","TAC",11.227628,125.027758
"Bacolod","BCD",10.642511,122.929617
"Oslo","GEN",60.1939,11.1004
"Dumaguete","DGT",9.333714,123.300472
"Caticlan","",11.924503,121.95405
"Guiuan","",11.035544,125.741594
"Iloilo","ILO",10.713044,122.545297
"Kalibo","KLO",11.679431,122.376294
"Masbate","",10.307542,123.979439
"Wausau","AUW",44.9262845,-89.6270018
"Puerto Princesa","PPS",9.742119,118.758731
"San Jose","SJI",10.766044,121.933439
"Concordia","COC",-31.296944,-57.996631
"Gualeguaychu","GHU",-33.010278,-58.613056
"Junin","",-34.545889,-60.930556
"Parana","PRA",-31.794778,-60.480361
"Rosario","ROS",-32.903611,-60.785
"Santa Fe","SFN",-31.711666,-60.811668
"Buenos Aires","AEP",-34.559175,-58.415606
"Cordoba","COR",-31.323619,-64.207953
"Gobernador Gordillo","",-30.345278,-66.29361
"San Fernando","",-34.453189,-58.589644
"Jose C. Paz","",-34.56065,-58.789564
"La Plata","LPG",-34.972222,-57.894694
"Moron","",-34.676317,-58.642756
"El Palomar","",-34.609939,-58.612592
"Chosmadal","",-37.444692,-70.222469
"Fuerte Gral Roca","",-39.000672,-67.620514
"Mendoza","MDZ",-32.831717,-68.792856
"Malargue","LGS",-35.493597,-69.574267
"San Rafael","AFA",-34.588314,-68.403854
"Catamarca","CTC",-28.593214,-65.750925
"Santiago Del Estero","SDE",-27.765617,-64.310122
"Tinogasta","",-28.03775,-67.580314
"La Rioja","IRJ",-29.381636,-66.795839
"Chilecito","",-29.223888,-67.438889
"Tucuman","TUC",-26.840861,-65.104944
"San Julian","UAQ",-31.571472,-68.418194
"Rio Cuarto","RCU",-33.085128,-64.261314
"Villa Dolores","VDR",-31.945183,-65.146283
"Laboulaye","",-34.135444,-63.36225
"Marcos Juarez","",-32.683639,-62.157792
"Villa Reynolds","",-33.725144,-65.378086
"San Luis","LUQ",-33.273192,-66.356422
"Corrientes","CNQ",-27.445503,-58.761864
"Resistencia","RES",-27.449986,-59.056125
"Formosa","FMA",-26.212722,-58.228111
"Iguazu Falls","IGR",-25.737281,-54.473444
"Paso De Los Libres","AOL",-29.689425,-57.152078
"Monte Caseros","",-30.271922,-57.640231
"Posadas","PSS",-27.385839,-55.970728
"Presidencia R.s.pena","",-26.756519,-60.493103
"Salta","SLA",-24.855978,-65.486169
"Jujuy","JUJ",-24.392778,-65.097778
"Oran","ORA",-23.152779,-64.32917
"La Quiaca","",-22.150556,-65.5775
"Portage","C47",43.5603136,-89.4828607
"El Dorado","",-26.397499,-54.574722
"Goya","",-29.099472,-59.250583
"Obera","",-27.518156,-55.124156
"Reconquista","",-29.210278,-59.68
"Curuzu Cuatia","",-29.770555,-57.978889
"El Bolson","EHL",-41.943189,-71.532289
"Comodoro Rivadavia","CRD",-45.785347,-67.465508
"Esquel","EQS",-42.90795,-71.139472
"Trelew","REL",-43.2105,-65.270319
"Viedma","VDM",-40.869222,-63.000389
"Puerto Madryn","PMY",-42.759161,-65.102725
"Marambio Base","",-64.238335,-56.630833
"Puerto Deseado","PUD",-47.735292,-65.904097
"Rio Grande","RGA",-53.777667,-67.749389
"Rio Gallegos","RGL",-51.608875,-69.312636
"Ushuaia","USH",-54.843278,-68.29575
"San Julian","ULA",-49.306775,-67.802589
"Perito Moreno","PMQ",-46.537911,-70.978689
"Santa Cruz","RZA",-50.01655,-68.579197
"Bahia Blanca","BHI",-38.724967,-62.169317
"Colonel Suarez","",-37.446111,-61.889297
"Olavarria","",-36.890039,-60.216619
"General Pico","",-35.696183,-63.758286
"Tres Arroyos","",-38.386911,-60.329711
"Bolivar","",-36.186594,-61.076367
"Ironwood","IWD",46.5274747,-90.1313967
"Mar Del Plata","MDQ",-37.934167,-57.573333
"Neuquen","NQN",-38.949,-68.155711
"Mackinac Island","MCD",45.8649344,-84.637344
"Pehuajo","",-35.844592,-61.857553
"Santa Rosa","RSA",-36.588322,-64.275694
"San Carlos De Bariloche","BRC",-41.151172,-71.157542
"Tandil","TDL",-37.237392,-59.227922
"Villa Gesell","VLG",-37.235408,-57.029239
"Cutralco","",-38.939683,-69.264642
"San Martin Des Andes","CPC",-40.075383,-71.137294
"Conceicao Do Araguaia","CDJ",-8.348347,-49.301528
"Rio De Janeiro","",-22.875083,-43.384708
"Amapa","",2.077511,-50.858236
"Araracuara","AQA",-21.812,-48.133028
"Aracaju","AJU",-10.984,-37.070333
"Assis","",-22.638564,-50.455914
"Alta Floresta","AFL",-9.866092,-56.106206
"Aracatuba","ARU",-21.141342,-50.424722
"Belem","BEL",-1.37925,-48.476292
"Bage","BGX",-31.390528,-54.112244
"Belo Horizonte","PLU",-19.851181,-43.950628
"Curitiba","BFH",-25.405078,-49.232036
"Barbacena","",-21.267167,-43.761056
"Brasilia","BSB",-15.8711,-47.918625
"Bauru","BAU",-22.345042,-49.0538
"Boa Vista","BVB",2.846311,-60.690069
"Barra Do Garcas","",-15.861344,-52.388894
"Cascavel","CAC",-25.000339,-53.500764
"Itaituba","",-9.333936,-54.965422
"Belo Horizonte","CNF",-19.63375,-43.968856
"Campo Grande","CGR",-20.468667,-54.6725
"Chapeco","XAP",-27.134219,-52.656553
"Carolina","CLN",-7.320444,-47.458667
"Criciuma","CCM",-28.725817,-49.424739
"Porto Alegre","",-29.945944,-51.144367
"Campos","CAW",-21.698333,-41.301669
"Corumba","CMG",-19.011931,-57.673053
"Curitiba","CWB",-25.528475,-49.175775
"Caravelas","CRQ",-17.652283,-39.253069
"Caxias Do Sul","CXJ",-29.197064,-51.187536
"Cuiaba","CGB",-15.652931,-56.116719
"Cruzeiro do Sul","CZS",-7.599906,-72.769489
"President Prudente","PPB",-22.175056,-51.424639
"Manaus","MAO",-3.038611,-60.049721
"Jacare-acanga","",-6.233156,-57.776869
"Sao Pedro Da Aldeia","",-22.812872,-42.092633
"Foz Do Iguacu","IGU",-25.59615,-54.487206
"Florianopolis","FLN",-27.670489,-48.547181
"Fernando Do Noronha","FEN",-3.854928,-32.423336
"Fronteira","",-20.278483,-49.187472
"Alpinopolis","",-20.702817,-46.335264
"Fortaleza","FOR",-3.776283,-38.532556
"Rio De Janeiro","GIG",-22.808903,-43.243647
"Guajara-mirim","",-10.786375,-65.284792
"Goiania","GYN",-16.632033,-49.220686
"Macae","",-21.773683,-48.405078
"Sao Paulo","GRU",-23.432075,-46.469511
"Guaratingueta","",-22.791608,-45.204778
"Altamira","ATM",-3.253906,-52.253978
"Itaituba","",-3.127256,-58.481186
"Itaituba","",-4.242342,-56.000669
"Ilheus","IOS",-14.815964,-39.033197
"Ipatinga","IPN",-19.470722,-42.487583
"Itumbiara","",-18.444661,-49.213361
"Imperatriz","IMP",-5.531292,-47.46005
"Belem","",-1.414158,-48.460739
"Juiz De Fora","JDF",-21.7915,-43.386778
"Joao Pessoa","JPA",-7.148381,-34.950681
"Joinville","JOI",-26.224453,-48.797364
"Campina Grande","CPV",-7.269917,-35.896364
"Campinas","VCP",-23.0075,-47.134444
"Lajes","",-27.782142,-50.281486
"Lins","LIP",-21.664039,-49.730519
"Londrina","LDB",-23.333625,-51.130072
"Bom Jesus Da Lapa","LAZ",-13.262086,-43.408114
"Lagoa Santa","",-19.661611,-43.896403
"Maraba","MAB",-5.368589,-49.138025
"Almeirim","",-0.889839,-52.60225
"Maringa","MGF",-23.476392,-52.016406
"Montes Claros","MOC",-16.706925,-43.8189
"Grand Marais","GRM",47.8383333,-90.3829444
"Manaus","",-3.146042,-59.9863
"Maceio","MCZ",-9.510808,-35.791678
"Macapa","MCP",0.050664,-51.072178
"Mocord","",-5.201919,-37.364347
"Sao Paulo","",-23.509119,-46.637753
"Manicore","MNX",-5.811381,-61.278319
"Navegantes","NVT",-26.879999,-48.65139
"Santo Angelo","GEL",-28.281683,-54.169139
"Natal","NAT",-5.911417,-35.247717
"Oioiapoque","",3.855486,-51.796867
"Porto Alegre","POA",-29.994428,-51.171428
"Parnaiba","",-2.893747,-41.731961
"Pocos De Caldas","POO",-21.843014,-46.567917
"Passo Fundo","PFB",-28.243989,-52.326558
"Pelotas","PET",-31.718353,-52.327689
"Petrolina","PNZ",-9.362411,-40.569097
"Porto Nacional","PNB",-10.719417,-48.399736
"Ponta Pora","PMG",-22.549639,-55.702614
"Porto Velho","PVH",-8.709294,-63.902281
"Valparaiso","NPZ",41.4539722,-87.0070833
"Rio Branco","RBR",-9.583,-67.4836
"Recife","REC",-8.126794,-34.923039
"Rio Grande","RIG",-32.082617,-52.166542
"Rio De Janeiro","SDU",-22.910461,-43.163133
"Ribeirao Preto","RAO",-21.134167,-47.774189
"Rio De Janeiro","STU",-22.93235,-43.719092
"Sao Jose Dos Campos","SJK",-23.228172,-45.862739
"Sao Luis","SLZ",-2.585361,-44.234139
"Sao Paulo","CGH",-23.626692,-46.655375
"Sao Jose Do Rio Preto","SJP",-20.816567,-49.406511
"Santos","SSZ",-23.925206,-46.2875
"Salvador","SSA",-12.910994,-38.331044
"Oriximina","TMT",-1.4896,-56.396803
"Teresina","THE",-5.059942,-42.823478
"Tefe","TFF",-3.382944,-64.724056
"Tarauaca","",-8.155256,-70.783269
"Telemaco Borba","",-24.317775,-50.651592
"Obidos Tirios","",2.223472,-55.946056
"Tabatinga","TBT",-4.255669,-69.935828
"Tucurui","TUR",-3.786008,-49.720267
"Sao Gabriel","",-0.148419,-66.985589
"Paulo Alfonso","PAV",-9.400878,-38.250575
"Uruguaiana","URG",-29.782178,-57.038189
"Uberlandia","UDI",-18.882844,-48.225594
"Castilho","",-20.777067,-51.564761
"Uberaba","UBA",-19.765,-47.964778
"Varginha","VAG",-21.590067,-45.473342
"Vilhena","BVH",-12.694375,-60.098269
"Vitoria","VIX",-20.258056,-40.286389
"Iauarete","",0.6075,-69.185837
"Piracununga","QPS",-21.984561,-47.334764
"Arica","ARI",-18.348531,-70.338742
"Balmaceda","BBA",-45.916058,-71.689475
"Santiago","",-33.5618,-70.6884
"Chile Chico","CCH",-46.583341,-71.687405
"Calama","CJC",-22.498175,-68.903575
"Chillan","",-36.582497,-72.031367
"Punta Arenas","PUQ",-53.002642,-70.854586
"Coyhaique","GXQ",-45.594211,-72.106133
"Iquique","IQQ",-20.535222,-70.181275
"Santiago","SCL",-33.392975,-70.785803
"Antofagasta","ANF",-23.444478,-70.4451
"Porvenir","",-53.2537,-70.319228
"Futaleufu","",-43.189167,-71.851112
"Los Angeles","LSQ",-37.401731,-72.425444
"Puerto Williams","",-54.931072,-67.626261
"Concepcion","CCP",-36.77265,-73.063106
"Easter Island","IPC",-27.164792,-109.421831
"Osorno","ZOS",-40.611208,-73.061042
"Vallenar","",-28.596403,-70.755997
"Rancagua","",-34.173694,-70.775694
"Isla Rey Jorge","",-62.190833,-58.986667
"La Serena","LSC",-29.916233,-71.199522
"Santiago","",-33.456278,-70.546667
"Temuco","ZCO",-38.766819,-72.637097
"Puerto Montt","PMC",-41.438886,-73.093953
"Chaiten","WCH",-42.932808,-72.699114
"Valdivia","ZAL",-39.649956,-73.086111
"Ambato","ATF",-1.212067,-78.574636
"Clementia","",-1.706275,-79.378936
"Coca","OCC",-0.462886,-76.986842
"Cuenca","CUE",-2.889467,-78.984397
"Galapagos","GPS",-0.453758,-90.265914
"Guayaquil","GYE",-2.157419,-79.883558
"Gualaquiza","",-3.423214,-78.566994
"Ibarra","",0.338419,-78.136422
"Km-192","",0.184203,-79.391956
"La Julia","",-1.704381,-79.552261
"Latacunga","",-0.906833,-78.615756
"Macara","",-4.378231,-79.941022
"Macas","XMS",-2.299167,-78.12075
"Machala","MCH",-3.268903,-79.961572
"Montalvo","",-2.067014,-76.975742
"Manta","MEC",-0.946078,-80.678808
"Maragrosa","",-2.851097,-79.803619
"Pasaje","",-3.319667,-79.769165
"Portoviejo","PVO",-1.041647,-80.472206
"Quevedo","",-0.9894,-79.465114
"Quito","UIO",-0.141144,-78.488214
"Riobamba","",-1.653433,-78.656142
"Santa Rosa","",-3.435161,-79.977817
"Salinas","SNC",-2.204994,-80.988878
"Santo Domingo","",-0.248222,-79.214447
"Taura","",-2.261036,-79.680169
"Tena","",-0.986767,-77.819447
"Tarapoa","TPC",-0.122956,-76.33775
"Tulcan","TUA",0.809506,-77.708056
"Silverton","",37.812545,-107.662994
"Asuncion","ASU",-25.23985,-57.519133
"Ayolas","",-27.37065,-56.853944
"Conception","",-23.44175,-57.427122
"Itaipu","",-25.407853,-54.619417
"Mariscal Estigarribia","",-22.044986,-60.621694
"Pilar","",-26.881467,-58.318036
"Armenia","AXM",4.452775,-75.766447
"Puerto Asis","PUU",0.505228,-76.500836
"El Banco","",9.045542,-73.974931
"Bucaramanga","BGA",7.1265,-73.184778
"Bogota","BOG",4.701594,-74.146947
"Barranquilla","BAQ",10.889589,-74.780819
"Bahia Solano","BSC",6.202917,-77.394675
"Buenaventura","BUN",3.819628,-76.989767
"Cucuta","CUC",7.927567,-72.511547
"Cartagena","CTG",10.442381,-75.512961
"Cali","CLO",3.543222,-76.381583
"Tumaco","TCO",1.814417,-78.749228
"Corozal","CZU",9.332742,-75.285594
"Barrancabermeja","EJA",7.024331,-73.8068
"Florencia","FLA",1.589189,-75.564372
"Girardot","",4.276242,-74.796692
"McCarthy","MXY",61.4370608,-142.90307372
"Guapi","GPI",2.570133,-77.8986
"Guaymaral","",4.812333,-74.064919
"Ibague","IBE",4.421608,-75.1333
"Ipiales","IPI",0.861925,-77.671764
"Carepa","",7.811956,-76.716428
"La Mina","",11.232528,-72.490139
"Leticia","LET",-4.193549,-69.943163
"Medellin","EOH",6.219958,-75.590519
"Magangue","MGN",9.284739,-74.846092
"Monteria","MTR",8.823744,-75.825831
"Mitu","MVP",1.253664,-70.233878
"Manizales","MZL",5.029597,-75.464708
"Neiva","NVA",2.95015,-75.294
"Ocana","OCV",8.315061,-73.358331
"Otu","OTU",7.010369,-74.715497
"Puerto Bolivar","",12.221483,-71.984817
"Puerto Carreno","PCR",6.184717,-67.493164
"Pereira","PEI",4.812675,-75.739519
"Pitalito","",1.857769,-76.085719
"Popayan","PPN",2.4544,-76.609319
"Pasto","PSO",1.396247,-77.291478
"Providencia","PVA",13.356944,-81.35833
"Mariquita","",5.212556,-74.883647
"Rio Negro","MDE",6.164536,-75.423119
"Rio Hacha","RCH",11.526222,-72.925958
"San Jose Del Guaviare","SJE",2.579694,-72.639358
"Santa Marta","SMR",11.11965,-74.230647
"San Andres Island","ADZ",12.583594,-81.711192
"San Vincente De Caguan","SVI",2.152175,-74.76635
"Tame","TME",6.451081,-71.760261
"Arauca","AUC",7.068881,-70.736925
"Quibdo","UIB",5.690758,-76.641181
"Tulua","ULQ",4.088358,-76.235133
"Valledupar","VUP",10.435042,-73.249506
"Villavicencio","VVC",4.167875,-73.613761
"Bermejo","BJO",-22.773336,-64.312881
"Cochabamba","CBB",-17.421058,-66.177114
"Chapacura","",-16.990019,-65.141533
"Cobija","CIJ",-11.040436,-68.782972
"La Paz","LPB",-16.513339,-68.192256
"Oruro","",-17.962589,-67.076236
"Potosi","POI",-19.543069,-65.723706
"Puerto Suarez","PSZ",-18.975281,-57.820586
"Santa Ana","",-13.762208,-65.435158
"Sucre","SRE",-19.007083,-65.288747
"Tarija","TJA",-21.555736,-64.701325
"Trinidad","TDD",-14.818739,-64.918019
"Villa Montes","",-21.255231,-63.405611
"Santa Cruz","VVI",-17.644756,-63.135364
"Yacuiba","BYC",-21.960925,-63.651669
"Zandery","PBM",5.452831,-55.187783
"Cayenne","CAY",4.819808,-52.360447
"St.-georges Oyapock","",3.8976,-51.804083
"Huancabamba","",-5.256767,-79.442856
"Andoas","",-2.796128,-76.466617
"Atalaya","",-10.729117,-73.766503
"Seward","SWD",60.1269383,-149.4188122
"Iberia","",-11.411578,-69.488711
"Pucallpa","PCL",-8.377939,-74.574297
"Chimbote","CHM",-9.149614,-78.52385
"Puerto Esperanza","",-9.768131,-70.706456
"Moquegua","",-17.178961,-70.930803
"Chiclayo","CIX",-6.787475,-79.828097
"Ayacucho","AYP",-13.154819,-74.204417
"Andahuaylas","ANS",-13.706408,-73.350378
"Anta","ATA",-9.347444,-77.598392
"Lima","LIM",-12.021889,-77.114319
"Juanjui","JJI",-7.1691,-76.728561
"Jauja","",-11.783144,-75.473394
"Juliaca","JUL",-15.467103,-70.158169
"Michigan City","MGC",41.7033,-86.8211
"Ilo","",-17.695036,-71.343964
"Las Palmas","",-12.160708,-76.998942
"Tumbes","TBP",-3.552528,-80.381356
"Yurimaguas","YMS",-5.893772,-76.118211
"Collique","",-11.9287,-77.061139
"Chachapoyas","CHH",-6.201806,-77.856064
"Iquitos","IQT",-3.784739,-73.308806
"Arequipa","AQP",-16.341072,-71.583083
"San Ramon","",-11.128639,-75.3505
"Trujillo","TRU",-8.081411,-79.108761
"Pisco","PIO",-13.744864,-76.220284
"Tarapoto","TPP",-6.508742,-76.373247
"Tacna","TCQ",-18.053333,-70.275833
"Puerto Maldonado","PEM",-12.613611,-69.228611
"Piura","PIU",-5.20575,-80.616444
"Talara","TYL",-4.576639,-81.254139
"Niijima","",34.366944,139.268611
"Cuzco","CUZ",-13.535722,-71.938781
"Montevideo","",-34.789208,-56.264703
"Durazno","",-33.358867,-56.499172
"East Glacier","",48.443965,-113.218556
"Montevideo","MVD",-34.838417,-56.030806
"Salto","STY",-31.438481,-57.985294
"Acarigua","AGV",9.553422,-69.237536
"Anaco","AAO",9.430225,-64.470725
"San Fernando Deatabapo","",4.051819,-67.701072
"Barcelona","BLA",10.107139,-64.689161
"Barinas","BNS",8.619575,-70.220825
"Maracaibo","",10.183375,-67.557319
"Barquisimeto","BRM",10.042747,-69.358619
"Ciudad Bolivar","CBL",8.121898,-63.537353
"Caicara De Orinoco","",7.626078,-66.164917
"San Carlos","",9.647722,-68.574656
"Calabozo","",8.924656,-67.417094
"Canaima","CAJ",6.231989,-62.854433
"Carora","",10.175603,-70.065214
"Carupano","CUP",10.660014,-63.261681
"Coro","CZE",11.414867,-69.681656
"Caracas","",10.286589,-66.816219
"Cumana","CUM",10.450333,-64.130472
"Carrizal","",9.372167,-66.922989
"El Dorado","",6.715438,-61.639219
"Elorza","",7.059722,-69.496694
"Guasdualito","",7.211081,-70.75645
"Guiria","GUI",10.574078,-62.312667
"Guanare","GUQ",9.026944,-69.75515
"Higuerote","",10.462453,-66.092758
"Isla De Coche","",10.794406,-63.981589
"Paraguana","LSP",11.780775,-70.151497
"San Juan De Los Morros","",9.906953,-67.379639
"La Fria","LFR",8.239167,-72.271028
"La Orchila","",11.808822,-66.179214
"Maracaibo","MAR",10.558208,-71.727856
"Merida","MRD",8.582294,-71.161186
"Porlamar","PMV",10.912926,-63.967581
"Caracas","CCS",10.603117,-66.990583
"Maturin","MUN",9.749067,-63.1534
"Puerto Ayacucho","PYH",5.619992,-67.606103
"Puerto Cabello","PBL",10.4805,-68.073025
"San Cristobal","",7.801317,-72.202847
"Guayana","PZO",8.288528,-62.760361
"Palmarito","",7.575706,-70.174328
"San Antonio","SVZ",7.840831,-72.439742
"Santa Barbara","",7.803514,-71.165717
"Santa Ana De Uairen","",4.554722,-61.144922
"Santo Domingo","STD",7.565111,-72.035125
"San Felipe","SFH",10.278728,-68.755211
"San Fernando De Apure","SFD",7.883317,-67.444025
"San Tome","SOM",8.945147,-64.151083
"Santa Barbara","STB",8.974425,-71.943014
"Tucupita","TUV",9.088994,-62.094175
"Tumeremo","",7.249381,-61.528933
"Valencia","VLN",10.149733,-67.9284
"Hoexter Holzminden","",51.4838,9.2259
"Valera","VLV",9.340797,-70.584089
"Valle De La Pascua","VDP",9.222028,-65.993583
"Linden","",5.965922,-58.270336
"Lethem","LTM",3.372761,-59.789439
"Antigua","ANU",17.136749,-61.792667
"Bridgetown","BGI",13.074603,-59.492456
"Canefield","DCF",15.336719,-61.392211
"Dominica","DOM",15.547028,-61.3
"Fort-de-france","FDF",14.591033,-61.003175
"St. Martin","SFG",18.099914,-63.047197
"Pointe-a-pitre","PTP",16.265306,-61.531806
"Point Salines","GND",12.004247,-61.786192
"St. Thomas","STT",18.337306,-64.973361
"St. Croix Island","STX",17.701889,-64.798556
